Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","27938.44","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","35616.91","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","0.24","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","5.9","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","0.6","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1873238","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","398923.26","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","45619.27","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","138.5","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","13.57","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","12233.91","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","23503.19","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","64.98","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","4.59","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","012","Algérie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","260268.79","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","012","Algérie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","0.49","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","012","Algérie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","568.5","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","012","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","20.44","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","012","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","1.75","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","276","Allemagne","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1066000","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","276","Allemagne","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","470860.36","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","276","Allemagne","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","254316.47","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","276","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","39.69","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","276","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","4.74","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","024","Angola","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","52216.06","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","024","Angola","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","215928.19","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","27.27","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","2.75","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","028","Antigua-et-Barbuda","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","15.6","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","028","Antigua-et-Barbuda","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","5949.76","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","028","Antigua-et-Barbuda","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","64.99","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","028","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","251.39","T","Chiffre non officiel"
